Perplexity Results for FFNN on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 427.4428
Average Test Perplexity: 1200.8770

Test Set Perplexities:
Sentence 1: 1261.3278
Sentence 2: 458.1564
Sentence 3: 180.3686
Sentence 4: 8.6031
Sentence 5: 199.1442
Sentence 6: 141.9857
Sentence 7: 1.0000
Sentence 8: 3.6648
Sentence 9: 953.8451
Sentence 10: 721.1009
Sentence 11: 11.4882
Sentence 12: 71.7063
Sentence 13: 6867.0846
Sentence 14: 203.7064
Sentence 15: 12.8583
Sentence 16: 55.8372
Sentence 17: 1027.3399
Sentence 18: 37.3659
Sentence 19: 6.9864
Sentence 20: 24.4600
Sentence 21: 82.9603
Sentence 22: 8.6031
Sentence 23: 199.1442
Sentence 24: 222.9767
Sentence 25: 35.9119
Sentence 26: 39.2179
Sentence 27: 19.9183
Sentence 28: 75.1926
Sentence 29: 272.4150
Sentence 30: 95.7543
Sentence 31: 194.5402
Sentence 32: 20.9002
Sentence 33: 9.9485
Sentence 34: 9.4252
Sentence 35: 2349.0718
Sentence 36: 257.8986
Sentence 37: 596.1825
Sentence 38: 9482.1238
Sentence 39: 9.5206
Sentence 40: 55.2317
Sentence 41: 84.1559
Sentence 42: 59.7515
Sentence 43: 521.4044
Sentence 44: 1.5596
Sentence 45: 477.2690
Sentence 46: 27.5981
Sentence 47: 55.1638
Sentence 48: 8255.0097
Sentence 49: 12.7486
Sentence 50: 457.9895
Sentence 51: 582.6638
Sentence 52: 2084.3793
Sentence 53: 16.8242
Sentence 54: 327.7070
Sentence 55: 7872.2110
Sentence 56: 6.0088
Sentence 57: 633.0673
Sentence 58: 3681.4401
Sentence 59: 8.4198
Sentence 60: 42.9418
Sentence 61: 5991.0568
Sentence 62: 33.2549
Sentence 63: 8520.9499
Sentence 64: 81.5763
Sentence 65: 47.4427
Sentence 66: 156.0937
Sentence 67: 9329.7767
Sentence 68: 4.5174
Sentence 69: 26.5244
Sentence 70: 87.7503
Sentence 71: 4.2680
Sentence 72: 42.2102
Sentence 73: 16.1983
Sentence 74: 59.0984
Sentence 75: 201.2888
Sentence 76: 50.7519
Sentence 77: 507.6608
Sentence 78: 60.8184
Sentence 79: 1102.5328
Sentence 80: 2.2213
Sentence 81: 8.8342
Sentence 82: 141.8600
Sentence 83: 1085.0996
Sentence 84: 1.0246
Sentence 85: 12.8117
Sentence 86: 145.7744
Sentence 87: 5632.0000
Sentence 88: 2.7657
Sentence 89: 24.1848
Sentence 90: 491.7014
Sentence 91: 198.7976
Sentence 92: 3.7389
Sentence 93: 4881.5420
Sentence 94: 23.4071
Sentence 95: 7219.8799
Sentence 96: 121.4835
Sentence 97: 59.0194
Sentence 98: 875.1620
Sentence 99: 440.4125
Sentence 100: 28.0678
Sentence 101: 3735.7797
Sentence 102: 1215.7257
Sentence 103: 1013.4981
Sentence 104: 5029.6305
Sentence 105: 2855.8285
Sentence 106: 28.7420
Sentence 107: 19.1856
Sentence 108: 151.7252
Sentence 109: 20.9849
Sentence 110: 199.1399
Sentence 111: 2.9540
Sentence 112: 43.4152
Sentence 113: 1173.7632
Sentence 114: 1373.9155
Sentence 115: 194.5105
Sentence 116: 6.8189
Sentence 117: 853.0526
Sentence 118: 7.7537
Sentence 119: 158.8234
Sentence 120: 3781.3062
Sentence 121: 5803.0821
Sentence 122: 495.2606
Sentence 123: 5.3124
Sentence 124: 6740.2684
Sentence 125: 9974.6392
Sentence 126: 91.6733
Sentence 127: 15.6008
Sentence 128: 23.3626
Sentence 129: 4.1528
Sentence 130: 4009.9713
Sentence 131: 3020.8867
Sentence 132: 4863.2213
Sentence 133: 394.1599
Sentence 134: 1211.3089
Sentence 135: 5860.0789
Sentence 136: 17.2600
Sentence 137: 81.0203
Sentence 138: 1.4710
Sentence 139: 8961.7294
Sentence 140: 1228.2505
Sentence 141: 2.3192
Sentence 142: 133.0549
Sentence 143: 72.9729
Sentence 144: 16.6482
Sentence 145: 107.9702
Sentence 146: 9945.0988
Sentence 147: 231.6509
Sentence 148: 8928.4450
Sentence 149: 158.5363
Sentence 150: 87.9648
Sentence 151: 16.6350
Sentence 152: 35.8902
Sentence 153: 27.7373
Sentence 154: 5164.3465
Sentence 155: 550.5264
Sentence 156: 4.3509
Sentence 157: 76.1041
Sentence 158: 289.7367
Sentence 159: 5.1495
Sentence 160: 962.2118
Sentence 161: 123.5428
Sentence 162: 110.8571
Sentence 163: 9.0985
Sentence 164: 4.3709
Sentence 165: 71.7743
Sentence 166: 98.7394
Sentence 167: 4856.7180
Sentence 168: 8.6841
Sentence 169: 13.5239
Sentence 170: 59.3558
Sentence 171: 19.9120
Sentence 172: 83.1446
Sentence 173: 1634.7704
Sentence 174: 21.1849
Sentence 175: 43.1776
Sentence 176: 176.8748
Sentence 177: 4.8371
Sentence 178: 4.6166
Sentence 179: 5.8636
Sentence 180: 139.1133
Sentence 181: 9615.7255
Sentence 182: 37.7182
Sentence 183: 3541.4901
Sentence 184: 135.5559
Sentence 185: 23.5367
Sentence 186: 391.3966
Sentence 187: 96.4154
Sentence 188: 1203.2074
Sentence 189: 63.9688
Sentence 190: 49.5542
Sentence 191: 14.5224
Sentence 192: 3.4587
Sentence 193: 61.3177
Sentence 194: 63.4333
Sentence 195: 1011.6305
Sentence 196: 1023.0759
Sentence 197: 40.6725
Sentence 198: 441.3015
Sentence 199: 588.7753
Sentence 200: 845.1889
Sentence 201: 3643.9255
Sentence 202: 1.0000
Sentence 203: 1.1387
Sentence 204: 5.8427
Sentence 205: 8.4214
Sentence 206: 52.4191
Sentence 207: 3676.4803
Sentence 208: 124.6299
Sentence 209: 4.0421
Sentence 210: 594.1683
Sentence 211: 28.3436
Sentence 212: 4256.5737
Sentence 213: 5364.2070
Sentence 214: 1.4684
Sentence 215: 9081.4509
Sentence 216: 29.9285
Sentence 217: 7777.0264
Sentence 218: 4088.0178
Sentence 219: 8.9791
Sentence 220: 25.2232
Sentence 221: 5.4368
Sentence 222: 9151.3745
Sentence 223: 39.1494
Sentence 224: 174.4285
Sentence 225: 97.1049
Sentence 226: 5.1848
Sentence 227: 2259.6418
Sentence 228: 8120.6484
Sentence 229: 6560.0000
Sentence 230: 5605.3754
Sentence 231: 312.8628
Sentence 232: 5735.9842
Sentence 233: 3.3342
Sentence 234: 1557.2560
Sentence 235: 70.4357
Sentence 236: 506.4635
Sentence 237: 134.1945
Sentence 238: 1367.7266
Sentence 239: 19.6479
Sentence 240: 5.6675
Sentence 241: 280.6991
Sentence 242: 1.0689
Sentence 243: 17.3294
Sentence 244: 1555.5546
Sentence 245: 380.2434
Sentence 246: 1538.6699
Sentence 247: 745.5434
Sentence 248: 1535.0843
Sentence 249: 112.9850
Sentence 250: 6944.8573
Sentence 251: 1083.9800
Sentence 252: 5.3999
Sentence 253: 1569.4993
Sentence 254: 1.4858
Sentence 255: 449.1347
Sentence 256: 4160.9630
Sentence 257: 3318.3633
Sentence 258: 4.9037
Sentence 259: 9191.5048
Sentence 260: 394.5707
Sentence 261: 361.9090
Sentence 262: 34.8352
Sentence 263: 71.9175
Sentence 264: 6699.7326
Sentence 265: 1309.8215
Sentence 266: 2362.5421
Sentence 267: 8.1016
Sentence 268: 1.2542
Sentence 269: 68.5259
Sentence 270: 6.3945
Sentence 271: 62.1625
Sentence 272: 44.3532
Sentence 273: 1677.6975
Sentence 274: 76.4121
Sentence 275: 4.9937
Sentence 276: 4229.1029
Sentence 277: 2472.6332
Sentence 278: 2.1287
Sentence 279: 8.2991
Sentence 280: 1.0010
Sentence 281: 4.8162
Sentence 282: 4.8848
Sentence 283: 11.4522
Sentence 284: 14.3715
Sentence 285: 30.2215
Sentence 286: 33.3033
Sentence 287: 9132.7187
Sentence 288: 17.1584
Sentence 289: 400.2206
Sentence 290: 316.3235
Sentence 291: 5785.2337
Sentence 292: 26.0144
Sentence 293: 12.9409
Sentence 294: 66.1891
Sentence 295: 38.1908
Sentence 296: 40.0496
Sentence 297: 1923.6896
Sentence 298: 17.6094
Sentence 299: 9.7344
Sentence 300: 2296.5130
Sentence 301: 15.2699
Sentence 302: 103.2327
Sentence 303: 194.7546
Sentence 304: 5463.6489
Sentence 305: 70.7188
Sentence 306: 28.9976
Sentence 307: 108.4031
Sentence 308: 813.1506
Sentence 309: 3930.1392
Sentence 310: 43.8633
Sentence 311: 5.1984
Sentence 312: 421.6140
Sentence 313: 1.0034
Sentence 314: 4.8162
Sentence 315: 1080.1665
Sentence 316: 7918.0000
Sentence 317: 7089.4264
Sentence 318: 357.2612
Sentence 319: 4.7824
Sentence 320: 1271.6873
Sentence 321: 1.0217
Sentence 322: 2213.9568
Sentence 323: 75.2496
Sentence 324: 946.2201
Sentence 325: 18.8424
Sentence 326: 9.0067
Sentence 327: 9914.7679
Sentence 328: 8595.8704
Sentence 329: 220.4925
Sentence 330: 95.5218
Sentence 331: 97.9235
Sentence 332: 4.5128
Sentence 333: 6381.7762
Sentence 334: 31.7292
Sentence 335: 5.6562
Sentence 336: 9301.0757
Sentence 337: 401.4530
Sentence 338: 12.0491
Sentence 339: 201.8848
Sentence 340: 422.8632
Sentence 341: 18.7688
Sentence 342: 55.2336
Sentence 343: 222.5459
Sentence 344: 640.1346
Sentence 345: 356.5364
Sentence 346: 588.3327
Sentence 347: 74.1669
Sentence 348: 371.9783
Sentence 349: 787.5304
Sentence 350: 1582.3588
Sentence 351: 4985.1535
Sentence 352: 255.9819
Sentence 353: 277.4016
Sentence 354: 1.0411
Sentence 355: 2615.0552
Sentence 356: 3897.6066
Sentence 357: 4744.4823
Sentence 358: 5.1067
Sentence 359: 26.1899
Sentence 360: 606.8527
Sentence 361: 84.0951
Sentence 362: 223.1339
Sentence 363: 6.7841
Sentence 364: 6.4462
Sentence 365: 121.3406
Sentence 366: 4400.9327
Sentence 367: 43.5449
Sentence 368: 6174.4739
Sentence 369: 205.4279
Sentence 370: 14.0353
Sentence 371: 1.0044
Sentence 372: 16.2784
Sentence 373: 6.8989
Sentence 374: 3236.1449
Sentence 375: 1.0001
Sentence 376: 5.9401
Sentence 377: 9623.3844
Sentence 378: 1050.7026
Sentence 379: 1.0001
Sentence 380: 7.5219
Sentence 381: 14.5289
Sentence 382: 1.0032
Sentence 383: 202.8241
Sentence 384: 4.5488
Sentence 385: 9.5969
Sentence 386: 300.6758
Sentence 387: 5042.9919
Sentence 388: 1033.9031
Sentence 389: 31.7691
Sentence 390: 23.6783
Sentence 391: 42.1200
Sentence 392: 31.4446
Sentence 393: 29.6529
Sentence 394: 2504.5559
Sentence 395: 12.4161
Sentence 396: 2642.9073
Sentence 397: 55.4984
Sentence 398: 10.3568
Sentence 399: 26.2073
Sentence 400: 273.2399
Sentence 401: 1.0207
Sentence 402: 5.9040
Sentence 403: 7.5818
Sentence 404: 17.9206
Sentence 405: 111.1431
Sentence 406: 1.0023
Sentence 407: 5.9040
Sentence 408: 171.0042
Sentence 409: 7.9026
Sentence 410: 49.6137
Sentence 411: 8.0841
Sentence 412: 14.2884
Sentence 413: 49.9684
Sentence 414: 22.0123
Sentence 415: 26.2073
Sentence 416: 9063.8573
Sentence 417: 107.8937
Sentence 418: 108.1448
Sentence 419: 34.9874
Sentence 420: 54.5659
Sentence 421: 4.0636
Sentence 422: 1.0362
Sentence 423: 6.4207
Sentence 424: 12.9677
Sentence 425: 4471.2942
Sentence 426: 108.5478
Sentence 427: 5344.6146
Sentence 428: 21.4279
Sentence 429: 701.2594
Sentence 430: 5.2529
Sentence 431: 110.3025
Sentence 432: 9099.7325
Sentence 433: 8055.1214
Sentence 434: 774.0025
Sentence 435: 5964.7512
Sentence 436: 20.7933
Sentence 437: 105.2607
Sentence 438: 27.8332
Sentence 439: 219.2310
Sentence 440: 318.3572
Sentence 441: 11.3963
Sentence 442: 2082.5073
Sentence 443: 83.8984
Sentence 444: 7.9072
Sentence 445: 59.9796
Sentence 446: 365.5866
Sentence 447: 1.0008
Sentence 448: 15.8242
Sentence 449: 1.0092
Sentence 450: 1.0032
Sentence 451: 332.6598
Sentence 452: 2444.5611
Sentence 453: 6.1150
Sentence 454: 508.5612
Sentence 455: 9.3960
Sentence 456: 3581.9469
Sentence 457: 84.1971
Sentence 458: 5441.3057
Sentence 459: 3301.7696
Sentence 460: 125.2437
Sentence 461: 2083.5438
Sentence 462: 1.0000
Sentence 463: 1.1387
Sentence 464: 285.8377
Sentence 465: 3831.0033
Sentence 466: 1074.9583
Sentence 467: 3.6558
Sentence 468: 7.5219
Sentence 469: 6151.1764
Sentence 470: 294.7318
