Perplexity Results for FFNN on ulysses
--------------------------------------------------------

Average Training Perplexity: 1848.9583
Average Test Perplexity: 1992.5259

Test Set Perplexities:
Sentence 1: 6884.2948
Sentence 2: 104.0475
Sentence 3: 6807.2310
Sentence 4: 27.6252
Sentence 5: 322.1503
Sentence 6: 11.2801
Sentence 7: 279.2430
Sentence 8: 3551.3231
Sentence 9: 347.0134
Sentence 10: 7927.0902
Sentence 11: 215.1823
Sentence 12: 19.3528
Sentence 13: 121.5893
Sentence 14: 2992.1229
Sentence 15: 72.0643
Sentence 16: 7020.3537
Sentence 17: 7.9108
Sentence 18: 235.7847
Sentence 19: 3086.6346
Sentence 20: 61.2890
Sentence 21: 183.9766
Sentence 22: 2677.9785
Sentence 23: 9118.4088
Sentence 24: 158.1216
Sentence 25: 31.0283
Sentence 26: 3608.1567
Sentence 27: 5645.9918
Sentence 28: 304.8277
Sentence 29: 3568.1207
Sentence 30: 188.6031
Sentence 31: 4237.1107
Sentence 32: 219.0224
Sentence 33: 5880.7507
Sentence 34: 931.6110
Sentence 35: 9.1223
Sentence 36: 186.6606
Sentence 37: 1.0157
Sentence 38: 490.0494
Sentence 39: 6586.0771
Sentence 40: 27.6252
Sentence 41: 94.1244
Sentence 42: 8307.4982
Sentence 43: 27.6252
Sentence 44: 323.7153
Sentence 45: 44.4872
Sentence 46: 27.6252
Sentence 47: 6954.2018
Sentence 48: 23.0279
Sentence 49: 6710.9342
Sentence 50: 10.9782
Sentence 51: 261.3553
Sentence 52: 7642.6882
Sentence 53: 150.5101
Sentence 54: 8630.7848
Sentence 55: 956.6176
Sentence 56: 3495.9881
Sentence 57: 8981.8275
Sentence 58: 660.4176
Sentence 59: 711.6201
Sentence 60: 9.8590
Sentence 61: 2.4049
Sentence 62: 79.5329
Sentence 63: 7247.4632
Sentence 64: 72.0643
Sentence 65: 219.0224
Sentence 66: 7524.5674
Sentence 67: 94.1244
Sentence 68: 215.1823
Sentence 69: 27.6252
Sentence 70: 5.8971
Sentence 71: 1.0006
Sentence 72: 1652.4946
Sentence 73: 5598.1565
Sentence 74: 6.8870
Sentence 75: 560.2032
Sentence 76: 7.8067
Sentence 77: 3.2818
Sentence 78: 31.0283
Sentence 79: 8734.0591
Sentence 80: 54.3767
Sentence 81: 5546.1068
Sentence 82: 362.5314
Sentence 83: 2.0194
Sentence 84: 210.9496
Sentence 85: 6.0229
Sentence 86: 3581.1901
Sentence 87: 2230.4200
Sentence 88: 536.8836
Sentence 89: 2.4491
Sentence 90: 569.4756
Sentence 91: 12.2455
Sentence 92: 6435.4404
Sentence 93: 26.2215
Sentence 94: 44.4872
Sentence 95: 7081.5205
Sentence 96: 5.9465
Sentence 97: 5748.7278
Sentence 98: 27.6252
Sentence 99: 1480.9010
Sentence 100: 31.0283
Sentence 101: 595.7091
Sentence 102: 447.5336
Sentence 103: 185.8841
Sentence 104: 6.3407
Sentence 105: 1132.7898
Sentence 106: 6855.2913
Sentence 107: 976.7020
Sentence 108: 17.2666
Sentence 109: 79.5329
Sentence 110: 1480.9010
Sentence 111: 897.0139
Sentence 112: 2975.0461
Sentence 113: 124.7265
Sentence 114: 1813.7104
Sentence 115: 9397.5727
Sentence 116: 8891.6481
Sentence 117: 5777.4370
Sentence 118: 10.2506
Sentence 119: 38.9291
Sentence 120: 5041.7067
Sentence 121: 27.6252
Sentence 122: 1.0213
Sentence 123: 3325.9874
Sentence 124: 4.2725
Sentence 125: 135.5259
Sentence 126: 2.7839
Sentence 127: 826.2016
Sentence 128: 212.2742
Sentence 129: 153.8465
Sentence 130: 1721.1481
Sentence 131: 6.7637
Sentence 132: 735.9683
Sentence 133: 9825.9808
Sentence 134: 2599.1341
Sentence 135: 27.6252
Sentence 136: 116.0964
Sentence 137: 1.6838
Sentence 138: 18.8234
Sentence 139: 5.0567
Sentence 140: 8456.9062
Sentence 141: 473.0613
Sentence 142: 7.3310
Sentence 143: 1135.8670
Sentence 144: 7987.2953
Sentence 145: 33.3673
Sentence 146: 9771.7485
Sentence 147: 6.8132
Sentence 148: 1581.6856
Sentence 149: 79.5329
Sentence 150: 443.0199
Sentence 151: 31.0283
Sentence 152: 44.4872
Sentence 153: 855.5159
Sentence 154: 5659.0766
Sentence 155: 18.0716
Sentence 156: 44.4872
Sentence 157: 677.8494
