Perplexity Results for LSTM on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 166.3927
Average Test Perplexity: 1108.9579

Test Set Perplexities:
Sentence 1: 370.3995
Sentence 2: 926.1499
Sentence 3: 168.2946
Sentence 4: 3.7432
Sentence 5: 170.2197
Sentence 6: 73.0286
Sentence 7: 1.0002
Sentence 8: 2.0431
Sentence 9: 838.9735
Sentence 10: 1502.1983
Sentence 11: 1.2505
Sentence 12: 559.8253
Sentence 13: 3291.9206
Sentence 14: 15.3811
Sentence 15: 6.5597
Sentence 16: 84.8184
Sentence 17: 1662.5029
Sentence 18: 15.7903
Sentence 19: 4.0906
Sentence 20: 21.2396
Sentence 21: 95.6540
Sentence 22: 3.7432
Sentence 23: 170.2197
Sentence 24: 83.3174
Sentence 25: 73.8058
Sentence 26: 86.2268
Sentence 27: 23.0814
Sentence 28: 8.6849
Sentence 29: 379.1777
Sentence 30: 110.9576
Sentence 31: 3625.7382
Sentence 32: 81.6548
Sentence 33: 13.3670
Sentence 34: 7.9364
Sentence 35: 8509.0835
Sentence 36: 1239.0756
Sentence 37: 6323.2851
Sentence 38: 4852.2469
Sentence 39: 37.5828
Sentence 40: 2513.3443
Sentence 41: 5.0824
Sentence 42: 9.3085
Sentence 43: 524.2660
Sentence 44: 1.2583
Sentence 45: 9139.8454
Sentence 46: 12.7817
Sentence 47: 130.1483
Sentence 48: 6005.6960
Sentence 49: 14.0702
Sentence 50: 621.4121
Sentence 51: 6332.9015
Sentence 52: 9819.2983
Sentence 53: 9.4358
Sentence 54: 1825.6350
Sentence 55: 9099.7795
Sentence 56: 18.9312
Sentence 57: 626.6901
Sentence 58: 5298.8530
Sentence 59: 21.0253
Sentence 60: 184.9199
Sentence 61: 575.9720
Sentence 62: 26.3732
Sentence 63: 5542.4659
Sentence 64: 85.7762
Sentence 65: 67.0976
Sentence 66: 324.7648
Sentence 67: 7135.5438
Sentence 68: 3.9658
Sentence 69: 26.1940
Sentence 70: 63.9983
Sentence 71: 1.6682
Sentence 72: 91.7478
Sentence 73: 19.2222
Sentence 74: 60.8392
Sentence 75: 258.0552
Sentence 76: 4.8118
Sentence 77: 6.7124
Sentence 78: 3.3151
Sentence 79: 160.4829
Sentence 80: 2.3349
Sentence 81: 4.7664
Sentence 82: 129.6351
Sentence 83: 385.7878
Sentence 84: 1.0005
Sentence 85: 14.6714
Sentence 86: 1100.0856
Sentence 87: 9373.0930
Sentence 88: 3.8580
Sentence 89: 16.5891
Sentence 90: 1682.5011
Sentence 91: 817.4367
Sentence 92: 3.1735
Sentence 93: 1949.6618
Sentence 94: 13.2017
Sentence 95: 1752.5056
Sentence 96: 12.4519
Sentence 97: 128.0893
Sentence 98: 2079.1575
Sentence 99: 741.6544
Sentence 100: 48.7351
Sentence 101: 7832.2938
Sentence 102: 78.3074
Sentence 103: 4807.0116
Sentence 104: 1442.6874
Sentence 105: 4211.0595
Sentence 106: 14.5400
Sentence 107: 16.0969
Sentence 108: 3214.1351
Sentence 109: 6.7775
Sentence 110: 70.0922
Sentence 111: 4.5753
Sentence 112: 282.0080
