Perplexity Results for LSTM on ulysses
--------------------------------------------------------

Average Training Perplexity: 764.0636
Average Test Perplexity: 1845.8647

Test Set Perplexities:
Sentence 1: 5287.3276
Sentence 2: 594.7625
Sentence 3: 5466.8250
Sentence 4: 10.9867
Sentence 5: 2.8484
Sentence 6: 530.9446
Sentence 7: 9.6672
Sentence 8: 3054.5902
Sentence 9: 3.7017
Sentence 10: 791.8521
Sentence 11: 17.4663
Sentence 12: 1.6407
Sentence 13: 275.8504
Sentence 14: 1524.7083
Sentence 15: 102.6340
Sentence 16: 4163.8044
Sentence 17: 116.4930
Sentence 18: 2.6589
Sentence 19: 8733.2762
Sentence 20: 24.9643
Sentence 21: 24.9531
Sentence 22: 5167.6326
Sentence 23: 410.8290
Sentence 24: 42.7747
Sentence 25: 2.0300
Sentence 26: 4298.7080
Sentence 27: 6225.5128
Sentence 28: 454.5542
Sentence 29: 3369.2617
Sentence 30: 1053.6914
Sentence 31: 9333.4622
Sentence 32: 291.3982
Sentence 33: 3154.1241
Sentence 34: 923.4571
Sentence 35: 56.1568
Sentence 36: 123.6382
Sentence 37: 1.1847
Sentence 38: 1432.4340
Sentence 39: 1202.0624
Sentence 40: 3.3781
Sentence 41: 80.5352
Sentence 42: 2298.9114
Sentence 43: 7.8030
Sentence 44: 155.6032
Sentence 45: 3.8034
Sentence 46: 254.8833
Sentence 47: 5687.7193
Sentence 48: 204.1842
Sentence 49: 2235.7959
Sentence 50: 71.3850
Sentence 51: 399.8372
Sentence 52: 65.5464
Sentence 53: 112.5052
Sentence 54: 3326.4061
Sentence 55: 7620.0253
Sentence 56: 4682.7872
Sentence 57: 1174.7386
Sentence 58: 8666.4843
Sentence 59: 2392.1248
Sentence 60: 16.2567
Sentence 61: 2.3293
Sentence 62: 14.6392
Sentence 63: 3129.2680
Sentence 64: 23.7858
Sentence 65: 259.7196
Sentence 66: 3771.8576
Sentence 67: 126.1403
Sentence 68: 50.6311
Sentence 69: 4.5823
Sentence 70: 1.0157
Sentence 71: 1.0055
Sentence 72: 82.3776
Sentence 73: 233.3350
Sentence 74: 16.2054
Sentence 75: 11.1063
Sentence 76: 9.4254
Sentence 77: 1.0386
Sentence 78: 2.8534
Sentence 79: 78.5587
Sentence 80: 165.9853
Sentence 81: 9372.1280
Sentence 82: 418.5381
Sentence 83: 2.1952
Sentence 84: 18.3953
Sentence 85: 4.3556
Sentence 86: 4487.2880
Sentence 87: 1436.8870
Sentence 88: 140.3681
Sentence 89: 10.9211
Sentence 90: 5342.4563
Sentence 91: 61.1238
Sentence 92: 9179.2965
Sentence 93: 55.7170
Sentence 94: 3.0600
Sentence 95: 4753.5409
Sentence 96: 131.2680
Sentence 97: 7804.1844
Sentence 98: 19.3457
Sentence 99: 2402.3691
Sentence 100: 9.6131
Sentence 101: 212.6184
Sentence 102: 70.6871
Sentence 103: 319.5456
Sentence 104: 3.7387
Sentence 105: 249.9722
Sentence 106: 9188.1985
Sentence 107: 4533.7758
Sentence 108: 63.5517
Sentence 109: 12.9446
Sentence 110: 754.2485
Sentence 111: 296.7812
Sentence 112: 390.4506
Sentence 113: 178.9438
Sentence 114: 1476.0908
Sentence 115: 7038.0133
Sentence 116: 5371.8356
Sentence 117: 196.3954
Sentence 118: 15.5922
Sentence 119: 22.5730
Sentence 120: 9052.7417
Sentence 121: 244.0836
Sentence 122: 1.1210
Sentence 123: 5305.5742
Sentence 124: 12.1221
Sentence 125: 4.0430
Sentence 126: 1.7067
Sentence 127: 31.5311
Sentence 128: 15.4970
Sentence 129: 139.9037
Sentence 130: 5748.9005
Sentence 131: 7.6996
Sentence 132: 5805.5194
Sentence 133: 1.7962
Sentence 134: 2.9663
Sentence 135: 2.4432
Sentence 136: 51.3304
Sentence 137: 1.4805
Sentence 138: 23.6248
Sentence 139: 67.2986
Sentence 140: 49.6556
Sentence 141: 301.0619
Sentence 142: 9.5596
Sentence 143: 158.3644
Sentence 144: 684.3622
Sentence 145: 9.2517
Sentence 146: 8309.1646
Sentence 147: 3.1508
Sentence 148: 7939.9276
Sentence 149: 91.6310
Sentence 150: 39.9173
Sentence 151: 15.7140
Sentence 152: 33.4360
Sentence 153: 253.9006
Sentence 154: 1827.3307
Sentence 155: 9.2169
Sentence 156: 1509.7758
Sentence 157: 226.1713
Sentence 158: 9.7360
Sentence 159: 7.0854
Sentence 160: 96.3716
Sentence 161: 91.7709
Sentence 162: 2387.4774
Sentence 163: 950.9364
Sentence 164: 3329.6918
Sentence 165: 5.1218
Sentence 166: 5843.3217
Sentence 167: 52.3431
Sentence 168: 1167.5603
Sentence 169: 13.1979
Sentence 170: 9803.0866
Sentence 171: 4828.3942
Sentence 172: 184.6392
Sentence 173: 213.4577
Sentence 174: 910.4675
Sentence 175: 62.7131
Sentence 176: 1708.7448
Sentence 177: 14.0131
Sentence 178: 1549.5655
Sentence 179: 1115.5818
Sentence 180: 2460.1596
Sentence 181: 15.8890
Sentence 182: 2780.9496
Sentence 183: 165.3612
Sentence 184: 7390.5604
Sentence 185: 4.1823
Sentence 186: 507.6846
Sentence 187: 7892.9349
Sentence 188: 1599.5374
Sentence 189: 5.4072
Sentence 190: 1178.3223
Sentence 191: 9.6913
Sentence 192: 8832.4469
Sentence 193: 10.3394
Sentence 194: 6.0030
Sentence 195: 1.1033
Sentence 196: 3315.5618
Sentence 197: 1.2749
Sentence 198: 441.0783
Sentence 199: 18.3332
Sentence 200: 28.1366
Sentence 201: 665.6944
Sentence 202: 3873.7949
Sentence 203: 78.1721
Sentence 204: 16.4204
Sentence 205: 537.9099
Sentence 206: 5778.5780
Sentence 207: 1818.0684
Sentence 208: 114.9527
Sentence 209: 9569.9717
Sentence 210: 88.6014
Sentence 211: 7224.0976
Sentence 212: 26.7019
Sentence 213: 6187.8789
Sentence 214: 2.5980
Sentence 215: 7080.5080
Sentence 216: 3119.0362
Sentence 217: 9072.6199
Sentence 218: 3.0725
Sentence 219: 3211.6359
Sentence 220: 4.1099
Sentence 221: 134.9014
Sentence 222: 1673.0569
Sentence 223: 14.9927
Sentence 224: 8098.4718
Sentence 225: 1.0873
Sentence 226: 8898.9542
Sentence 227: 1235.5468
Sentence 228: 2559.3813
Sentence 229: 29.8651
Sentence 230: 7795.1610
Sentence 231: 81.9581
Sentence 232: 5326.6038
Sentence 233: 383.6586
Sentence 234: 57.0665
Sentence 235: 1338.5639
Sentence 236: 12.7701
Sentence 237: 6416.6453
Sentence 238: 6654.5439
Sentence 239: 4193.5029
Sentence 240: 277.9007
Sentence 241: 642.7773
Sentence 242: 7.2641
Sentence 243: 228.1876
Sentence 244: 8794.5530
Sentence 245: 3423.1849
Sentence 246: 8.4504
Sentence 247: 11.0631
Sentence 248: 12.1297
Sentence 249: 8830.7112
Sentence 250: 531.2202
Sentence 251: 20.1572
Sentence 252: 7396.3968
Sentence 253: 2601.0174
Sentence 254: 613.9057
Sentence 255: 2769.6269
Sentence 256: 4.0378
Sentence 257: 216.5213
Sentence 258: 6440.3739
Sentence 259: 6146.1510
Sentence 260: 63.2007
Sentence 261: 9591.2218
Sentence 262: 4185.5500
Sentence 263: 359.4870
Sentence 264: 2555.2523
Sentence 265: 3497.1620
Sentence 266: 41.4726
Sentence 267: 285.1189
Sentence 268: 7996.4124
Sentence 269: 5.0714
Sentence 270: 3412.2399
Sentence 271: 414.2336
Sentence 272: 194.6637
Sentence 273: 47.2177
Sentence 274: 1379.1679
Sentence 275: 220.3540
Sentence 276: 1.6031
Sentence 277: 201.2889
Sentence 278: 7397.1827
Sentence 279: 783.2931
Sentence 280: 3.9796
Sentence 281: 9591.1366
Sentence 282: 5009.4868
Sentence 283: 45.6412
Sentence 284: 546.0521
Sentence 285: 5716.6084
Sentence 286: 63.2020
Sentence 287: 1.0068
Sentence 288: 852.8147
Sentence 289: 4453.7800
Sentence 290: 7717.5755
Sentence 291: 384.8019
Sentence 292: 706.1205
Sentence 293: 37.2805
Sentence 294: 5807.2524
Sentence 295: 52.7825
Sentence 296: 9227.7565
Sentence 297: 875.9271
Sentence 298: 142.5105
Sentence 299: 647.5188
Sentence 300: 50.3398
Sentence 301: 106.2266
Sentence 302: 79.3320
Sentence 303: 7522.4974
Sentence 304: 27.6201
Sentence 305: 52.5162
Sentence 306: 497.1470
Sentence 307: 3871.3434
Sentence 308: 17.2864
Sentence 309: 15.0457
Sentence 310: 3538.5314
Sentence 311: 7534.7223
Sentence 312: 4919.4367
Sentence 313: 2.7793
Sentence 314: 38.1674
Sentence 315: 4450.5823
Sentence 316: 9263.8192
Sentence 317: 1945.4264
Sentence 318: 7408.1608
Sentence 319: 464.4738
Sentence 320: 8738.8985
Sentence 321: 28.5267
Sentence 322: 4629.2285
Sentence 323: 4593.6905
Sentence 324: 18.4978
Sentence 325: 13.3517
Sentence 326: 229.2162
Sentence 327: 4866.4643
Sentence 328: 163.5370
Sentence 329: 624.5123
Sentence 330: 6286.0112
Sentence 331: 5988.4333
Sentence 332: 5976.2802
Sentence 333: 7874.5033
Sentence 334: 12.0028
Sentence 335: 533.8328
Sentence 336: 2380.4539
Sentence 337: 15.5685
Sentence 338: 32.3165
Sentence 339: 6441.3306
Sentence 340: 16.6689
Sentence 341: 446.1907
Sentence 342: 4351.4012
Sentence 343: 136.6732
Sentence 344: 7285.2454
Sentence 345: 6807.4003
Sentence 346: 54.9070
Sentence 347: 92.0161
Sentence 348: 3807.3918
Sentence 349: 20.2548
Sentence 350: 168.6502
Sentence 351: 5457.2281
Sentence 352: 38.8287
Sentence 353: 172.3148
Sentence 354: 6280.8491
Sentence 355: 6634.3240
Sentence 356: 4185.1746
Sentence 357: 1.3295
Sentence 358: 1353.2967
Sentence 359: 2911.7496
Sentence 360: 2.9433
Sentence 361: 39.9515
Sentence 362: 4.1557
Sentence 363: 9127.6197
Sentence 364: 32.1741
Sentence 365: 241.8975
Sentence 366: 64.3470
Sentence 367: 1948.3061
Sentence 368: 5390.7646
Sentence 369: 68.9967
Sentence 370: 548.2423
Sentence 371: 618.3820
Sentence 372: 35.1786
Sentence 373: 1779.7738
Sentence 374: 98.8741
Sentence 375: 10.2633
Sentence 376: 83.2351
Sentence 377: 1192.0324
Sentence 378: 43.5142
Sentence 379: 1488.0631
Sentence 380: 8436.0520
Sentence 381: 12.9077
Sentence 382: 3266.8900
Sentence 383: 68.2947
Sentence 384: 3.8558
Sentence 385: 623.2333
Sentence 386: 2.4827
Sentence 387: 2.7906
Sentence 388: 2536.6833
Sentence 389: 5477.6186
Sentence 390: 2.2508
Sentence 391: 599.3798
Sentence 392: 126.3873
Sentence 393: 7069.4101
Sentence 394: 171.3154
Sentence 395: 6351.3763
Sentence 396: 5.9724
Sentence 397: 3632.2485
Sentence 398: 5775.4030
Sentence 399: 15.0292
Sentence 400: 3.6552
Sentence 401: 580.5138
Sentence 402: 208.5978
Sentence 403: 9.0695
Sentence 404: 7433.1915
Sentence 405: 3.5540
Sentence 406: 7.0200
Sentence 407: 1.0078
Sentence 408: 3.6881
Sentence 409: 1.1308
Sentence 410: 1.5280
Sentence 411: 4.0948
Sentence 412: 45.8091
Sentence 413: 1871.6710
Sentence 414: 20.9012
Sentence 415: 54.5578
