Perplexity Results for RNN on pride_and_prejudice
--------------------------------------------------------

Average Training Perplexity: 255.7799
Average Test Perplexity: 1316.8406

Test Set Perplexities:
Sentence 1: 3126.0199
Sentence 2: 31.9832
Sentence 3: 222.3214
Sentence 4: 8.3169
Sentence 5: 2344.9476
Sentence 6: 291.3756
Sentence 7: 1.0177
Sentence 8: 3.4339
Sentence 9: 6121.9150
Sentence 10: 2614.9924
Sentence 11: 11.7541
Sentence 12: 32.6122
Sentence 13: 815.0752
Sentence 14: 62.3228
Sentence 15: 11.8875
Sentence 16: 121.4549
Sentence 17: 3133.0455
Sentence 18: 3.7043
Sentence 19: 11.5450
Sentence 20: 30.5791
Sentence 21: 185.3672
Sentence 22: 8.3169
Sentence 23: 2344.9476
Sentence 24: 59.8276
Sentence 25: 2.5291
Sentence 26: 27.2935
Sentence 27: 4.5313
Sentence 28: 9.5690
Sentence 29: 1647.2920
Sentence 30: 55.8927
Sentence 31: 8412.5761
Sentence 32: 593.7461
Sentence 33: 32.8479
Sentence 34: 2.8836
Sentence 35: 9777.8486
Sentence 36: 4358.8473
Sentence 37: 4381.7561
Sentence 38: 5853.5610
Sentence 39: 50.1381
Sentence 40: 2817.5542
Sentence 41: 33.6657
Sentence 42: 50.2855
Sentence 43: 170.1521
Sentence 44: 1.6161
Sentence 45: 5231.2046
Sentence 46: 11.7876
Sentence 47: 37.7967
Sentence 48: 3284.6541
Sentence 49: 96.4315
Sentence 50: 3542.3392
Sentence 51: 9078.8002
Sentence 52: 3397.0603
Sentence 53: 3.1187
Sentence 54: 1588.5476
Sentence 55: 6716.1266
Sentence 56: 10.2588
Sentence 57: 171.1082
Sentence 58: 4608.4142
Sentence 59: 3.2794
Sentence 60: 18.1966
Sentence 61: 917.4360
Sentence 62: 3.7491
Sentence 63: 7076.9247
Sentence 64: 89.9543
Sentence 65: 241.4257
Sentence 66: 326.4070
Sentence 67: 309.0196
Sentence 68: 32.4500
Sentence 69: 29.4345
Sentence 70: 35.3856
Sentence 71: 2.1176
Sentence 72: 85.9317
Sentence 73: 18.5119
Sentence 74: 182.0291
Sentence 75: 24.1263
Sentence 76: 133.5915
Sentence 77: 541.9582
Sentence 78: 6.0911
Sentence 79: 83.2722
Sentence 80: 1.7314
Sentence 81: 4.0029
Sentence 82: 252.8057
Sentence 83: 723.9419
