Perplexity Results for RNN on ulysses
--------------------------------------------------------

Average Training Perplexity: 649.1392
Average Test Perplexity: 1952.1131

Test Set Perplexities:
Sentence 1: 7486.1915
Sentence 2: 621.1831
Sentence 3: 6463.8955
Sentence 4: 6.8656
Sentence 5: 4.3105
Sentence 6: 4939.1740
Sentence 7: 102.5392
Sentence 8: 869.1317
Sentence 9: 41.2893
Sentence 10: 739.2228
Sentence 11: 12.7116
Sentence 12: 1.4847
Sentence 13: 162.0012
Sentence 14: 1749.2273
Sentence 15: 58.8993
Sentence 16: 9851.5647
Sentence 17: 50.0156
Sentence 18: 42.8697
Sentence 19: 5179.6003
Sentence 20: 12.0124
Sentence 21: 23.5377
Sentence 22: 3978.4845
Sentence 23: 66.8832
Sentence 24: 35.0527
Sentence 25: 2.4237
Sentence 26: 5502.0781
Sentence 27: 3982.0450
Sentence 28: 142.4872
Sentence 29: 3163.3007
Sentence 30: 20.0198
Sentence 31: 7748.8001
Sentence 32: 2758.2912
Sentence 33: 7162.2966
Sentence 34: 9300.2664
Sentence 35: 13.4001
Sentence 36: 92.6062
Sentence 37: 1.6560
Sentence 38: 2121.0298
Sentence 39: 6404.6760
Sentence 40: 7.9817
Sentence 41: 47.1887
Sentence 42: 464.7276
Sentence 43: 15.8019
Sentence 44: 86.0095
Sentence 45: 11.1081
Sentence 46: 5171.2750
Sentence 47: 6173.0764
Sentence 48: 32.6167
Sentence 49: 157.5592
Sentence 50: 12.6372
Sentence 51: 89.5182
Sentence 52: 5124.8472
Sentence 53: 4601.4593
Sentence 54: 787.9022
Sentence 55: 292.4460
Sentence 56: 9184.2643
Sentence 57: 101.8919
Sentence 58: 4826.5746
Sentence 59: 7540.4099
Sentence 60: 17.6360
Sentence 61: 300.4524
Sentence 62: 20.0433
Sentence 63: 2643.0450
Sentence 64: 19.8100
Sentence 65: 70.8403
Sentence 66: 9503.0190
Sentence 67: 14.6295
Sentence 68: 50.0509
Sentence 69: 4.9108
Sentence 70: 1.2460
Sentence 71: 1.0214
Sentence 72: 36.6864
Sentence 73: 12.4143
Sentence 74: 22.6893
Sentence 75: 129.4068
Sentence 76: 16.5992
Sentence 77: 1.0212
Sentence 78: 7.0278
Sentence 79: 66.9209
Sentence 80: 65.0201
Sentence 81: 1666.9310
